route,Origin,Dest,route_total_pax,route_id
MCO-SJU,MCO,SJU,309802.0,1
HNL-OGG,HNL,OGG,277827.0,2
HNL-LAX,HNL,LAX,271720.0,3
HNL-KOA,HNL,KOA,186894.0,4
HNL-LIH,HNL,LIH,186091.0,5
HNL-ITO,HNL,ITO,174796.0,6
ANC-SEA,ANC,SEA,166425.0,7
JFK-SJU,JFK,SJU,153563.0,8
HNL-SFO,HNL,SFO,129363.0,9
EWR-SJU,EWR,SJU,114345.0,10
MIA-SJU,MIA,SJU,102264.0,11
FLL-SJU,FLL,SJU,100061.0,12
LAX-OGG,LAX,OGG,100019.0,13
HNL-SEA,HNL,SEA,98627.0,14
BOS-SJU,BOS,SJU,92181.0,15
PHL-SJU,PHL,SJU,82143.0,16
SJU-TPA,SJU,TPA,74411.0,17
HNL-LAS,HNL,LAS,74227.0,18
HNL-SAN,HNL,SAN,67163.0,19
OGG-SFO,OGG,SFO,61862.0,20
KOA-LAX,KOA,LAX,60995.0,21
ATL-SJU,ATL,SJU,59235.0,22
BQN-MCO,BQN,MCO,56668.0,23
HNL-SJC,HNL,SJC,55950.0,24
BWI-SJU,BWI,SJU,55191.0,25
LAX-LIH,LAX,LIH,53862.0,26
OGG-SEA,OGG,SEA,52587.0,27
BDL-SJU,BDL,SJU,50520.0,28
HNL-PHX,HNL,PHX,45232.0,29
FAI-SEA,FAI,SEA,43918.0,30
ORD-SJU,ORD,SJU,43476.0,31
HNL-PDX,HNL,PDX,39232.0,32
KOA-OGG,KOA,OGG,37279.0,33
HNL-OAK,HNL,OAK,37181.0,34
ANC-FAI,ANC,FAI,35243.0,35
KOA-SEA,KOA,SEA,33503.0,36
MCO-PSE,MCO,PSE,33223.0,37
KOA-SFO,KOA,SFO,31427.0,38
LIH-OGG,LIH,OGG,31333.0,39
HNL-JFK,JFK,HNL,30822.0,40
BQN-JFK,BQN,JFK,30580.0,41
HNL-SMF,SMF,HNL,30124.0,42
OGG-SAN,SAN,OGG,27752.0,43
IAH-SJU,IAH,SJU,27579.0,44
DFW-SJU,DFW,SJU,26554.0,45
HNL-LGB,LGB,HNL,25331.0,46
JNU-SEA,JNU,SEA,25151.0,47
OGG-SJC,SJC,OGG,24276.0,48
CLT-SJU,CLT,SJU,23935.0,49
OAK-OGG,OAK,OGG,22506.0,50
ANC-MSP,ANC,MSP,22343.0,51
ANC-ORD,ANC,ORD,21811.0,52
OGG-PDX,PDX,OGG,21601.0,53
LIH-SEA,LIH,SEA,20760.0,54
DEN-HNL,DEN,HNL,20308.0,55
HNL-ORD,HNL,ORD,18889.0,56
DFW-HNL,HNL,DFW,18807.0,57
OGG-SMF,SMF,OGG,18710.0,58
RDU-SJU,RDU,SJU,18683.0,59
DCA-SJU,DCA,SJU,17689.0,60
LAS-OGG,LAS,OGG,17147.0,61
JFK-STT,JFK,STT,17038.0,62
BQN-EWR,BQN,EWR,16135.0,63
LIH-SFO,LIH,SFO,15703.0,64
HNL-IAH,HNL,IAH,15281.0,65
ANC-DEN,ANC,DEN,15239.0,66
HNL-SLC,HNL,SLC,14873.0,67
JFK-PSE,JFK,PSE,14511.0,68
IAD-SJU,IAD,SJU,14390.0,69
HNL-ONT,ONT,HNL,13754.0,70
SEA-SLC,SLC,SEA,13526.0,71
LGB-OGG,LGB,OGG,13415.0,72
SJU-STT,STT,SJU,13413.0,73
OGG-PHX,PHX,OGG,13311.0,74
GEG-SEA,GEG,SEA,13168.0,75
ANC-BET,BET,ANC,12953.0,76
FLL-STT,STT,FLL,12789.0,77
BQN-FLL,BQN,FLL,12580.0,78
BOS-HNL,BOS,HNL,12464.0,79
PDX-SEA,PDX,SEA,12422.0,80
LIH-OAK,OAK,LIH,12392.0,81
KOA-SJC,SJC,KOA,12373.0,82
ANC-PDX,ANC,PDX,11683.0,83
MIA-STT,MIA,STT,11554.0,84
ANC-JNU,ANC,JNU,10640.0,85
EWR-HNL,EWR,HNL,10241.0,86
MCO-STT,MCO,STT,10137.0,87
MSP-SEA,MSP,SEA,9780.0,88
MIA-STX,STX,MIA,9742.0,89
BOI-SEA,BOI,SEA,9636.0,90
KTN-SEA,KTN,SEA,9534.0,91
GUM-HNL,GUM,HNL,9122.0,92
ATL-HNL,ATL,HNL,8980.0,93
DEN-SEA,DEN,SEA,8942.0,94
AUS-HNL,AUS,HNL,7638.0,95
LAX-SLC,SLC,LAX,7631.0,96
KOA-SAN,SAN,KOA,7611.0,97
ADQ-ANC,ADQ,ANC,7592.0,98
DEN-OGG,DEN,OGG,7295.0,99
ANC-SFO,SFO,ANC,7132.0,100
ANC-HNL,ANC,HNL,7065.0,101
ANC-DFW,ANC,DFW,6810.0,102
KOA-PDX,PDX,KOA,6508.0,103
ANC-LAX,ANC,LAX,6434.0,104
LIH-SAN,SAN,LIH,6360.0,105
DFW-LAX,DFW,LAX,6253.0,106
PHX-SEA,PHX,SEA,6176.0,107
KOA-LIH,KOA,LIH,6171.0,108
ANC-PHX,ANC,PHX,6140.0,109
ATL-STT,ATL,STT,6026.0,110
LAX-ORD,ORD,LAX,5774.0,111
ITO-OGG,ITO,OGG,5526.0,112
LAS-SEA,LAS,SEA,5275.0,113
LAX-SEA,LAX,SEA,5112.0,114
ATL-SEA,ATL,SEA,4971.0,115
JAX-SJU,JAX,SJU,4800.0,116
DEN-LAX,DEN,LAX,4777.0,117
DTW-SEA,DTW,SEA,4697.0,118
LAS-LAX,LAS,LAX,4548.0,119
SEA-SMF,SMF,SEA,4303.0,120
FLL-STX,STX,FLL,4265.0,121
EWR-STT,EWR,STT,4058.0,122
SAN-SEA,SAN,SEA,3960.0,123
BOS-SEA,BOS,SEA,3661.0,124
SEA-SFO,SEA,SFO,3322.0,125
